t,x,y,z,vx,vy,vz,CD,CL,Cside,Fx,Fy,Fz,Tx,Ty,Tz,rpm,steps,fresh
0.009144566,0.057314288,2.244032e-5,1.749989,38.94429,0.03077969,-0.014711104,1.051474,0.7573904,-0.012576618,-4.221094,3.0354338,-0.04870101,7.647646e-5,0.00050002633,-0.00054726435,2707.795679972887,1144,12
0.009208514,0.059804637,2.4451423e-5,1.7499881,38.94243,0.03211838,-0.015359698,1.0115094,0.7575899,-0.012059667,-4.060467,3.0359304,-0.046619542,5.376629e-5,0.0005275749,-0.0005204771,2707.79163892941,1152,0
0.009272463,0.06229487,2.654814e-5,1.7499871,38.94064,0.03345729,-0.016007373,1.0642457,0.7512441,0.0014901994,-4.2717013,3.0098724,0.007887443,0.00083005783,-0.0010934065,-0.0004621402,2707.787597885933,1160,0
0.009336411,0.06478499,2.873011e-5,1.749986,38.938755,0.03478471,-0.01663101,1.1042249,0.7506023,-0.0030660366,-4.431753,3.0067184,-0.010242475,0.00055165414,-0.00072827784,-0.00051239645,2707.7841785414525,1168,0
0.009400359,0.06727498,3.0996922e-5,1.749985,38.936802,0.036110733,-0.017262643,1.1222063,0.7505446,0.004952225,-4.5035143,3.0059662,0.022026675,0.0015259528,-0.0016830233,-0.00045087325,2707.780448347474,1176,8
0.009464308,0.069764845,3.334852e-5,1.7499839,38.934814,0.037436426,-0.017880045,1.0858654,0.7504577,0.00050320086,-4.35743,3.005299,0.0042015566,0.0009274492,-0.0011684103,-0.00042159142,2707.7770290029935,1184,0
0.009528256,0.07225459,3.5784884e-5,1.7499827,38.93289,0.038761824,-0.018505307,1.0635055,0.7549478,-0.0027058967,-4.267468,3.0229478,-0.008628365,-0.00055415067,-9.23599e-5,-0.00085756095,2707.7736096585127,1192,20
0.009592204,0.07474421,3.8306254e-5,1.7499815,38.93101,0.04009501,-0.019136228,1.1073223,0.7317011,-0.0115553485,-4.4427614,2.929126,-0.04395839,-0.0002079837,0.00015721028,-0.00055661035,2707.7673926685484,1200,0
0.009656153,0.07723371,4.0911556e-5,1.7499803,38.92905,0.041386813,-0.01978273,1.1786946,0.70968705,-0.022174606,-4.728472,2.840127,-0.08631443,4.132812e-5,0.0006168483,4.8888465e-5,2707.763351625071,1208,13
0.009720101,0.079723075,4.359821e-5,1.749979,38.926964,0.042639367,-0.020447912,1.2072178,0.70916563,-0.012355034,-4.8423724,2.837452,-0.04680666,-2.866478e-5,0.0004714367,-0.00037246972,2707.7636624745696,1216,0
